id_number,mz,rtime,rtime_left_base,rtime_right_base,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,CPD041_EVC1,CPD041_EVC2,CPD041_EVC3,CPD041_KGD001,CPD041_KGD002,CPD041_KGD003,CPD041_KGD005,CPD041_KGD007,CPD041_KGD008,CPD041_KGD009,CPD041_KGD010,CPD041_KGD011,CPD041_KGD013,CPD041_KGD014,CPD041_KGD015,CPD041_KGD016,CPD041_KGD017,CPD041_KGD018,CPD041_KGD019,CPD041_KGD021,CPD041_KGD022,CPD041_KGD023,CPD041_KGD025,CPD041_KGD026,CPD041_KGD028,CPD041_KGD031,CPD041_KGD032,CPD041_KGD033,CPD041_KGD034,CPD041_KGD035,CPD041_KGD036,CPD041_KGD037,CPD041_KGD038,CPD041_KGD040,CPD041_KGD041,CPD041_KGD042,CPD041_KGD043,CPD041_KGD044,CPD041_KGD045,CPD041_KGD048,CPD041_KGD051,CPD041_KGD052,CPD041_KGD057,CPD041_KGD058,CPD041_KGD064,CPD041_KGD066,CPD041_KGD069,CPD041_KGD070,CPD041_KGD075,CPD041_KGD076,CPD041_KGD077,CPD041_KGD078,CPD041_KGD079,CPD041_KGD080,CPD041_KGD081,CPD041_KGD082,CPD041_KGD083,CPD041_KGD084,CPD041_KGD085,CPD041_KGD086,CPD041_KGD087,CPD041_KGD088,CPD041_KGD089,CPD041_KGD090,CPD041_KGD091,CPD041_KGD092,CPD041_KGD093,CPD041_KGD094,CPD041_KGD095,CPD041_KGD096,CPD041_KGD097,CPD041_KGD098,CPD041_KGD099,CPD041_KGD101,CPD041_KGD102,CPD041_KGD103,CPD041_KGD104,CPD041_KGD105,CPD041_KGD106,CPD041_KGD107,CPD041_KGD108,CPD041_KGD109,CPD041_KGD110,CPD041_KGD111,CPD041_KGD112,CPD041_KGD113,CPD041_KGD114,CPD041_KGD115,CPD041_KGD116,CPD041_KGD117,CPD041_KGD118,CPD041_KGD119,CPD041_KGD120
F1,252.0673,51.54,50.36,52.71,6,479110909,1.0,0.92,63,88,5508055,5450052,5412945,0.0,0.0,0.0,0.0,0.0,79406.5155172972,0.0,0.0,0.0,128331.5155172972,0.0,244577.5155172972,114911.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103939.5155172972,0.0,0.0,50378.5155172972,0.0,0.0,0.0,0.0,0.0,3487.515517297201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8395.5155172972,0.0,88057.5155172972,75318.5155172972,186894.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,208864.5155172972,0.0,0.0,207325.5155172972,0.0,0.0,0.0,0.0,734953.5155172972,0.0,0.0,0.0,0.0,0.0,78161.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.5155172972009,0.0,0.0,0.0,257332.5155172972,0.0,0.0,0.0,0.0,0.0,116445.5155172972,0.0,0.0,0.0
F2,298.3449,73.7,72.52,74.88,18,12541785,1.0,0.97,988,92,148606,147113,145131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,254.066,51.34,50.76,52.52,12,19251508,1.0,0.72,163,93,211020,197618,213982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,252.0865,60.17,59.58,60.95,8,25082939,1.0,0.97,3420,77,389051,360106,338840,13483.807127966837,18093.807127966837,0.0,48006.80712796684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12057.807127966837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,307.1097,67.23,66.35,68.41,20,36791053,1.0,0.95,3215,91,499977,473248,393497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,270.0333,59.97,58.99,61.15,13,11246732,1.0,0.96,977,92,103545,122080,125779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26577.028731945262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26110.028731945262,0.0,0.0,0.0
F7,270.0333,73.31,73.01,73.9,13,74416,0.84,0.82,10,22,0,0,0,0.0,0.0,0.0,0.0,7698.0,0.0,1091.0,0.0,3916.0,3361.0,2147.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,1080.0,2772.0,2315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5376.0,3482.0,2405.0,11605.0,7358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16040.0,1041.0,4846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,307.6111,67.33,66.45,68.5,21,12417616,1.0,0.94,1110,85,163841,174562,115073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F9,253.0708,51.34,50.76,52.52,9,60883773,1.0,0.73,81,93,673545,657458,646418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0903463184368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.090346318437,0.0,0.0,0.0,0.0,0.0,0.0,2769.090346318437,0.0,0.0,5471.090346318437,0.0,0.0,0.0,0.0,28979.090346318437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,309.0885,60.07,59.19,61.25,22,731778,1.0,0.99,66,3,0,0,0,0.0,0.0,0.0,0.0,362413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,274.0489,51.15,50.76,52.23,14,3862233,1.0,0.53,491,59,0,65979,69135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,274.0489,53.7,52.52,54.87,14,5158907,0.87,0.96,251,59,0,90592,79242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F13,253.0813,60.07,59.29,61.25,11,9039873,1.0,0.98,948,77,90811,157033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14,315.1067,65.27,64.58,66.45,23,178501,1.0,0.97,21,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F15,279.1144,67.92,66.74,69.09,15,105311611,1.0,0.96,1890,93,1128497,922888,951966,0.0,0.0,0.0,0.0,343734.15074073593,0.0,62798.15074073593,0.0,0.0,0.0,0.0,129289.15074073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37424.15074073593,0.0,0.0,112770.15074073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698205.1507407359,0.0,230217.15074073593,0.0,88604.15074073593,0.0,0.0,0.0,0.0,0.0,0.0,21512.15074073593,287768.15074073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481265.150740736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507243.15074073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F18,280.1175,67.92,66.84,69.09,16,13730899,1.0,0.95,1107,89,107935,126871,125602,0.0,0.0,0.0,0.0,68586.77196517194,0.0,40889.77196517194,7233.771965171938,0.0,0.0,0.0,44892.77196517194,0.0,0.0,7061.771965171938,0.0,0.0,0.0,20804.771965171938,27225.771965171938,0.0,12338.771965171938,53881.77196517194,0.0,0.0,21151.771965171938,0.0,26179.771965171938,3680.771965171938,0.0,0.0,134552.77196517194,7276.771965171938,66013.77196517194,0.0,53187.77196517194,0.0,0.0,0.0,8871.771965171938,3950.771965171938,0.0,20434.771965171938,58711.77196517194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652.771965171938,0.0,0.0,0.0,14059.771965171938,0.0,0.0,0.0,704576.7719651719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9778.771965171938,0.0,0.0,106211.77196517194,29.771965171938064,0.0,0.0,0.0,0.0,20812.771965171938,0.0,0.0,7374.771965171938,0.0,0.0,0.0,0.0,0.0,0.0
F19,323.1039,61.35,60.36,62.52,24,1510943,1.0,0.98,146,2,0,0,0,0.0,0.0,0.0,0.0,1129626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F21,281.1136,67.82,67.03,69.0,17,222805,1.0,0.97,19,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F22,324.107,61.25,60.56,62.42,25,149574,1.0,0.97,15,1,0,0,0,0.0,0.0,0.0,0.0,170178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
